correto classificador
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
6 6
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
7 7
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
a a
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
b b
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
c c
d d
d d
d d
d d
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
h h
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
m m
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
n n
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x
x x

classe qtde_acertos
6 41
7 58
a 50
b 48
c 44
d 4
h 62
m 26
n 36
x 33
