Classe      Elementos       Acertos         Erros
6           65              41 (63.07%)     24 (36.92%)
7           61              58 (95.08%)     03 (04.91%)
a           61              50 (81.96%)     11 (18.03%)
b           58              48 (82.75%)     10 (17.24%)
c           67              44 (65.67%)     23 (34.32%)
d           47              04 (08.51%)     43 (91.48%)
h           68              62 (91.17%)     06 (08.82%)
m           62              26 (41.93%)     36 (58.06%)
n           47              36 (76.59%)     11 (23.40%)
x           44              33 (75.00%)     11 (22.72%)
