Classe      Elementos       Acertos         Erros
6           65              40 (61.53%)      25 (38.46%)
7           61              52 (85.24%)      09 (14.75%)
a           61              41 (67.21%)      20 (32.78%)
b           58              34 (58.62%)      24 (41.37%)
c           67              45 (67.16%)      22 (32.83%)
d           47              18 (38.29%)      29 (61.70%)
h           68              59 (86.76%)      09 (13.23%)
m           62              39 (62.90%)      23 (37.09%)
n           47              30 (63.82%)      17 (36.17%)
x           44              31 (70.45%)      13 (29.45%)
