correto classificador
6 7
6 7
6 7
6 7
6 7
6 7
6 7
6 c
6 c
6 c
6 c
6 c
6 c
6 c
6 c
6 h
6 h
6 n
6 x
6 x
6 x
6 x
6 x
6 x
7 6
7 6
7 n
a 6
a b
a c
a h
a h
a h
a h
a h
a h
a n
a x
b 7
b a
b a
b c
b d
b m
b n
b n
b n
b n
c 6
c 6
c 6
c 6
c 6
c 7
c 7
c 7
c 7
c 7
c 7
c 7
c 7
c 7
c b
c b
c b
c b
c b
c d
c m
c n
c x
d 6
d 6
d 6
d 7
d a
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d b
d c
d h
d h
d n
d n
d n
h a
h a
h a
h b
h d
h m
m 7
m b
m b
m b
m b
m b
m b
m b
m b
m b
m d
m d
m h
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
m n
n b
n c
n c
n d
n m
n m
n m
n m
n m
n m
n m
x 6
x 6
x 6
x 6
x a
x a
x b
x b
x c
x h
x n

classe qtde_erros
6 24
7 3
a 11
b 10
c 23
d 43
h 6
m 36
n 11
x 11
